player_name,team,matches_played,runs,balls_faced,dismissals,average,strike_rate,highest_score
A Ashish Reddy,Deccan Chargers,5,35,30,4,8.75,116.6666667,36
A Ashish Reddy,Sunrisers Hyderabad,18,245,166,11,22.27272727,147.5903614,36
A Badoni,Lucknow Super Giants,35,634,505,26,24.38461538,125.5445545,59
A Chandila,Rajasthan Royals,2,4,7,1,4,57.14285714,4
A Chopra,Kolkata Knight Riders,6,53,75,5,10.6,70.66666667,24
A Choudhary,Royal Challengers Bangalore,3,25,20,2,12.5,125,15
A Dananjaya,Mumbai Indians,1,4,5,0,4,80,4
A Flintoff,Chennai Super Kings,3,62,57,2,31,108.7719298,24
A Kamboj,Mumbai Indians,1,2,2,0,2,100,2
A Kumble,Royal Challengers Bangalore,15,35,49,2,17.5,71.42857143,8
A Manohar,Gujarat Titans,15,231,181,14,16.5,127.6243094,43
A Mishra,Deccan Chargers,14,84,73,9,9.333333333,115.0684932,31
A Mishra,Delhi Capitals,4,21,26,2,10.5,80.76923077,31
A Mishra,Delhi Daredevils,28,164,201,15,10.93333333,81.5920398,31
A Mishra,Lucknow Super Giants,1,19,30,1,19,63.33333333,31
A Mishra,Sunrisers Hyderabad,8,93,110,4,23.25,84.54545455,31
A Mithun,Royal Challengers Bangalore,6,34,26,5,6.8,130.7692308,11
A Mukund,Chennai Super Kings,1,0,1,1,0,0,19
A Mukund,Royal Challengers Bangalore,1,19,22,1,19,86.36363636,19
A Nehra,Chennai Super Kings,4,1,7,2,0.5,14.28571429,22
A Nehra,Delhi Daredevils,7,25,29,5,5,86.20689655,22
A Nehra,Mumbai Indians,3,3,13,0,3,23.07692308,22
A Nehra,Pune Warriors,2,11,13,1,11,84.61538462,22
A Nehra,Sunrisers Hyderabad,1,1,1,0,1,100,22
A Nortje,Delhi Capitals,13,49,51,5,9.8,96.07843137,23
A Raghuvanshi,Kolkata Knight Riders,7,163,109,7,23.28571429,149.5412844,54
A Singh,Rajasthan Royals,5,2,10,4,0.5,20,1
A Symonds,Deccan Chargers,27,839,638,23,36.47826087,131.5047022,117
A Symonds,Mumbai Indians,9,135,143,3,45,94.40559441,117
A Tomar,Kolkata Knight Riders,1,4,8,1,4,50,4
A Uniyal,Rajasthan Royals,2,4,7,1,4,57.14285714,4
A Zampa,Rajasthan Royals,3,10,17,3,3.333333333,58.82352941,7
A Zampa,Rising Pune Supergiant,1,5,7,1,5,71.42857143,7
A Zampa,Rising Pune Supergiants,1,0,1,1,0,0,7
AA Bilakhia,Deccan Chargers,7,69,88,5,13.8,78.40909091,22
AA Chavan,Rajasthan Royals,3,12,11,1,12,109.0909091,7
AA Jhunjhunwala,Deccan Chargers,3,24,27,2,12,88.88888889,53
AA Jhunjhunwala,Pune Warriors,2,10,19,2,5,52.63157895,53
AA Jhunjhunwala,Rajasthan Royals,10,183,172,10,18.3,106.3953488,53
AA Kulkarni,Lucknow Super Giants,2,9,8,2,4.5,112.5,9
AA Noffke,Royal Challengers Bangalore,1,9,12,1,9,75,9
AB Agarkar,Delhi Daredevils,3,19,23,1,19,82.60869565,39
AB Agarkar,Kolkata Knight Riders,15,160,137,7,22.85714286,116.7883212,39
AB Barath,Kings XI Punjab,3,42,43,2,21,97.6744186,33
AB Dinda,Delhi Daredevils,1,0,5,1,0,0,7
AB Dinda,Kolkata Knight Riders,5,4,8,4,1,50,7
AB Dinda,Pune Warriors,6,11,16,2,5.5,68.75,7
AB Dinda,Rising Pune Supergiant,1,7,8,1,7,87.5,7
AB Dinda,Royal Challengers Bangalore,3,4,13,1,4,30.76923077,7
AB McDonald,Delhi Daredevils,5,76,65,2,38,116.9230769,33
AB McDonald,Royal Challengers Bangalore,4,47,38,3,15.66666667,123.6842105,33
AB de Villiers,Delhi Daredevils,26,671,582,20,33.55,115.2920962,133
AB de Villiers,Royal Challengers Bangalore,144,4510,2905,105,42.95238095,155.2495697,133
AC Blizzard,Mumbai Indians,7,120,91,7,17.14285714,131.8681319,51
AC Gilchrist,Deccan Chargers,46,1220,865,46,26.52173913,141.0404624,109
AC Gilchrist,Kings XI Punjab,34,849,690,30,28.3,123.0434783,109
AC Thomas,Pune Warriors,4,20,19,2,10,105.2631579,12
AC Voges,Rajasthan Royals,7,181,143,6,30.16666667,126.5734266,45
AD Hales,Sunrisers Hyderabad,6,148,119,6,24.66666667,124.3697479,45
AD Mascarenhas,Kings XI Punjab,4,19,21,3,6.333333333,90.47619048,27
AD Mascarenhas,Rajasthan Royals,7,60,58,7,8.571428571,103.4482759,27
AD Mathews,Delhi Daredevils,12,176,137,9,19.55555556,128.4671533,65
AD Mathews,Kolkata Knight Riders,11,249,211,7,35.57142857,118.0094787,65
AD Mathews,Pune Warriors,18,299,251,15,19.93333333,119.123506,65
AD Nath,Gujarat Lions,4,20,28,4,5,71.42857143,24
AD Nath,Kings XI Punjab,1,9,13,1,9,69.23076923,24
AD Nath,Royal Challengers Bangalore,5,61,58,5,12.2,105.1724138,24
AD Russell,Delhi Daredevils,4,58,42,4,14.5,138.0952381,88
AD Russell,Kolkata Knight Riders,100,2430,1473,80,30.375,164.9694501,88
AF Milne,Mumbai Indians,3,16,19,2,8,84.21052632,15
AF Milne,Royal Challengers Bangalore,3,7,12,3,2.333333333,58.33333333,15
AG Murtaza,Mumbai Indians,1,2,5,0,2,40,5
AG Murtaza,Pune Warriors,2,8,9,1,8,88.88888889,5
AG Paunikar,Rajasthan Royals,5,49,61,5,9.8,80.32786885,20
AJ Finch,Delhi Daredevils,8,102,103,9,11.33333333,99.02912621,88
AJ Finch,Gujarat Lions,25,693,501,20,34.65,138.3233533,88
AJ Finch,Kings XI Punjab,9,134,102,8,16.75,131.372549,88
AJ Finch,Kolkata Knight Riders,5,86,70,6,14.33333333,122.8571429,88
AJ Finch,Mumbai Indians,3,23,33,3,7.666666667,69.6969697,88
AJ Finch,Pune Warriors,14,456,344,14,32.57142857,132.5581395,88
AJ Finch,Rajasthan Royals,1,21,21,1,21,100,88
AJ Finch,Royal Challengers Bangalore,12,268,254,12,22.33333333,105.511811,88
AJ Finch,Sunrisers Hyderabad,13,309,268,11,28.09090909,115.2985075,88
AJ Hosein,Sunrisers Hyderabad,1,16,11,0,16,145.4545455,16
AJ Turner,Lucknow Super Giants,2,21,20,2,10.5,105,16
AJ Turner,Rajasthan Royals,4,3,11,3,1,27.27272727,16
AJ Tye,Gujarat Lions,3,53,30,1,53,176.6666667,25
AJ Tye,Kings XI Punjab,9,32,42,6,5.333333333,76.19047619,25
AJ Tye,Rajasthan Royals,1,6,7,1,6,85.71428571,25
AK Markram,Punjab Kings,6,146,123,5,29.2,118.699187,68
AK Markram,Sunrisers Hyderabad,36,849,664,28,30.32142857,127.8614458,68
AL Menaria,Rajasthan Royals,23,401,367,22,18.22727273,109.2643052,40
AM Nayar,Kings XI Punjab,13,106,116,8,13.25,91.37931034,45
AM Nayar,Mumbai Indians,24,457,348,20,22.85,131.3218391,45
AM Nayar,Pune Warriors,9,66,74,7,9.428571429,89.18918919,45
AM Nayar,Rajasthan Royals,4,43,50,4,10.75,86,45
AM Rahane,Chennai Super Kings,23,568,393,23,24.69565217,144.5292621,105
AM Rahane,Delhi Capitals,9,121,122,9,13.44444444,99.18032787,105
AM Rahane,Kolkata Knight Riders,7,133,131,7,19,101.5267176,105
AM Rahane,Mumbai Indians,9,148,147,8,18.5,100.6802721,105
AM Rahane,Rajasthan Royals,93,2810,2350,81,34.69135802,119.5744681,105
AM Rahane,Rising Pune Supergiant,16,382,328,15,25.46666667,116.4634146,105
AM Rahane,Rising Pune Supergiants,14,480,387,13,36.92307692,124.0310078,105
AN Ahmed,Mumbai Indians,2,22,21,0,22,104.7619048,18
AN Ahmed,Royal Challengers Bangalore,4,14,6,1,14,233.3333333,18
AN Ghosh,Kolkata Knight Riders,2,7,8,2,3.5,87.5,7
AP Dole,Rajasthan Royals,2,34,23,2,17,147.826087,30
AP Majumdar,Pune Warriors,4,87,77,4,21.75,112.987013,31
AP Tare,Delhi Daredevils,3,18,25,3,6,72,59
AP Tare,Mumbai Indians,22,313,245,19,16.47368421,127.755102,59
AP Tare,Sunrisers Hyderabad,2,8,15,2,4,53.33333333,59
AR Bawne,Delhi Daredevils,1,12,12,0,12,100,12
AR Patel,Delhi Capitals,62,967,753,42,23.02380952,128.4196547,66
AR Patel,Kings XI Punjab,50,686,565,36,19.05555556,121.4159292,66
AS Joseph,Gujarat Titans,4,12,19,1,12,63.15789474,15
AS Joseph,Mumbai Indians,1,15,13,0,15,115.3846154,15
AS Rajpoot,Chennai Super Kings,1,2,6,0,2,33.33333333,8
AS Rajpoot,Kings XI Punjab,3,11,18,2,5.5,61.11111111,8
