player_name,team,matches_bowled,balls_bowled,runs_conceded,wickets,economy,best_figures
A Ashish Reddy,Deccan Chargers,9,169,238,11,8.885496183,Mar-25
A Ashish Reddy,Sunrisers Hyderabad,11,101,162,8,8.885496183,Mar-25
A Badoni,Lucknow Super Giants,5,25,37,2,8.88,01-Jun
A Chandila,Rajasthan Royals,12,234,245,11,6.282051282,Apr-13
A Choudhary,Royal Challengers Bangalore,5,108,144,5,8.138613861,Feb-17
A Dananjaya,Mumbai Indians,1,25,47,0,11.5,0/47
A Flintoff,Chennai Super Kings,3,66,106,2,9.636363636,01-Nov
A Kamboj,Mumbai Indians,3,68,115,2,10.3,Jan-24
A Kumble,Royal Challengers Bangalore,42,983,1089,49,6.528497409,05-Jun
A Mishra,Deccan Chargers,28,613,750,32,7.281518837,May-17
A Mishra,Delhi Capitals,18,388,452,20,7.281518837,May-17
A Mishra,Delhi Daredevils,81,1710,2083,91,7.281518837,May-17
A Mishra,Lucknow Super Giants,8,127,171,8,7.281518837,May-17
A Mishra,Sunrisers Hyderabad,27,606,737,32,7.281518837,May-17
A Mithun,Royal Challengers Bangalore,16,312,477,8,9.166666667,Feb-21
A Nehra,Chennai Super Kings,20,478,596,33,7.694968553,May-29
A Nehra,Delhi Daredevils,27,632,775,41,7.694968553,May-29
A Nehra,Mumbai Indians,14,280,357,14,7.694968553,May-29
A Nehra,Pune Warriors,13,291,411,12,7.694968553,May-29
A Nehra,Sunrisers Hyderabad,14,293,398,21,7.694968553,May-29
A Nel,Mumbai Indians,1,18,31,1,10.33333333,Jan-31
A Nortje,Delhi Capitals,46,1097,1614,62,8.783681214,Apr-34
A Singh,Rajasthan Royals,23,486,639,31,7.877378436,Apr-19
A Symonds,Deccan Chargers,27,516,653,22,7.696394687,Mar-22
A Symonds,Mumbai Indians,3,24,41,1,7.696394687,Mar-22
A Uniyal,Rajasthan Royals,2,38,67,3,10.83333333,Mar-41
A Zampa,Rajasthan Royals,6,133,189,9,7.890214797,Jun-19
A Zampa,Rising Pune Supergiant,6,122,164,7,7.890214797,Jun-19
A Zampa,Rising Pune Supergiants,5,103,117,12,7.890214797,Jun-19
A Zampa,Royal Challengers Bangalore,3,67,92,2,7.890214797,Jun-19
AA Chavan,Rajasthan Royals,13,255,339,8,8.008064516,Feb-24
AA Jhunjhunwala,Deccan Chargers,3,36,39,1,8.964705882,Jan-14
AA Jhunjhunwala,Pune Warriors,2,13,22,0,8.964705882,Jan-14
AA Jhunjhunwala,Rajasthan Royals,5,39,69,0,8.964705882,Jan-14
AA Kazi,Royal Challengers Bangalore,1,13,21,1,10,Jan-21
AA Noffke,Royal Challengers Bangalore,1,25,41,1,9,Jan-41
AB Agarkar,Delhi Daredevils,15,317,463,13,8.662404092,Mar-16
AB Agarkar,Kolkata Knight Riders,27,503,711,20,8.662404092,Mar-16
AB Dinda,Delhi Daredevils,5,107,159,5,7.87994723,Apr-18
